         8963 function calls (8675 primitive calls) in 0.048 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      110    0.000    0.000    0.000    0.000 turtle.py:3901(<listcomp>)
      110    0.000    0.000    0.000    0.000 turtle.py:3903(<listcomp>)
       79    0.000    0.000    0.001    0.000 turtle.py:3916(_turtle_docrevise)
       31    0.000    0.000    0.001    0.000 turtle.py:3928(_screen_docrevise)
        2    0.000    0.000    0.012    0.006 turtle.py:3960(_make_global_funcs)
        1    0.000    0.000    0.000    0.000 turtle.py:432(_Root)
        1    0.000    0.000    0.000    0.000 turtle.py:459(TurtleScreenBase)
        1    0.000    0.000    0.000    0.000 turtle.py:857(Terminator)
        1    0.000    0.000    0.000    0.000 turtle.py:866(TurtleGraphicsError)
        1    0.000    0.000    0.000    0.000 turtle.py:871(Shape)
        1    0.000    0.000    0.000    0.000 turtle.py:918(Tbuffer)
        1    0.000    0.000    0.000    0.000 turtle.py:956(TurtleScreen)
        1    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.048    0.048 ui.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ui.py:13(UI)
      153    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFC29D3B920}
        8    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       57    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.017    0.017    0.017    0.017 {built-in method _imp.create_dynamic}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        9    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        9    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       57    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       26    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       26    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       67    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      2/1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
    179/1    0.010    0.000    0.048    0.048 {built-in method builtins.exec}
      193    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      221    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      353    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      880    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
  770/762    0.000    0.000    0.000    0.000 {built-in method builtins.len}
